customer_id,frequency,monetary,recency_days,cluster,cluster_label
12346.0,12,77556.46,5228,1,Regular Shoppers
12347.0,8,5633.319999999997,4905,1,Regular Shoppers
12348.0,5,2019.4,4978,1,Regular Shoppers
12349.0,4,4428.6900000000005,4921,1,Regular Shoppers
12350.0,1,334.4,5213,0,Dormant Customers
12351.0,1,300.93,5278,0,Dormant Customers
12352.0,10,2849.8400000000006,4939,1,Regular Shoppers
12353.0,2,406.76,5107,1,Regular Shoppers
12354.0,1,1079.4,5135,1,Regular Shoppers
12355.0,2,947.61,5117,1,Regular Shoppers
12356.0,6,6373.68,4925,1,Regular Shoppers
12357.0,3,18287.66,4936,1,Regular Shoppers
12358.0,5,3887.0700000000015,4904,1,Regular Shoppers
12359.0,10,8935.939999999999,4960,1,Regular Shoppers
12360.0,8,4252.890000000001,4955,1,Regular Shoppers
12361.0,4,511.25,5190,0,Dormant Customers
12362.0,11,5356.230000000003,4906,1,Regular Shoppers
12363.0,2,551.9999999999999,5012,1,Regular Shoppers
12364.0,4,1313.1000000000004,4910,1,Regular Shoppers
12365.0,2,641.38,5194,0,Dormant Customers
12366.0,1,500.24,5536,0,Dormant Customers
12367.0,1,168.89999999999998,4907,1,Regular Shoppers
12368.0,1,917.6999999999999,5531,0,Dormant Customers
12369.0,3,1791.1499999999999,5316,0,Dormant Customers
12370.0,7,4320.309999999998,4954,1,Regular Shoppers
12371.0,5,4067.3799999999983,4947,1,Regular Shoppers
12372.0,3,1298.0399999999997,4974,1,Regular Shoppers
12373.0,3,1127.65,5214,0,Dormant Customers
12374.0,4,2989.2200000000007,4928,1,Regular Shoppers
12375.0,2,457.50000000000006,4913,1,Regular Shoppers
12376.0,2,503.15,5292,0,Dormant Customers
12377.0,4,3426.3199999999997,5218,0,Dormant Customers
12378.0,2,5416.319999999999,5032,1,Regular Shoppers
12379.0,4,1620.2200000000003,4984,1,Regular Shoppers
12380.0,11,9676.300000000007,4924,1,Regular Shoppers
12381.0,5,1845.3100000000002,4907,1,Regular Shoppers
12383.0,5,1850.5599999999995,5087,1,Regular Shoppers
12384.0,2,585.2700000000001,4931,1,Regular Shoppers
12385.0,1,1938.4000000000003,5282,0,Dormant Customers
12386.0,2,660.8000000000001,5240,0,Dormant Customers
12387.0,1,143.94000000000003,5318,0,Dormant Customers
12388.0,8,3901.1099999999983,4918,1,Regular Shoppers
12389.0,3,1433.3300000000004,5305,0,Dormant Customers
12390.0,1,549.84,4982,1,Regular Shoppers
12391.0,6,2773.419999999995,4924,1,Regular Shoppers
12392.0,1,234.75000000000003,5494,0,Dormant Customers
12393.0,6,2399.4500000000007,4975,1,Regular Shoppers
12394.0,2,1272.48,4966,1,Regular Shoppers
12395.0,15,5067.2699999999995,4922,1,Regular Shoppers
12396.0,1,931.4300000000002,5577,0,Dormant Customers
12397.0,2,2409.9000000000005,4938,1,Regular Shoppers
12398.0,1,1635.6600000000005,4948,1,Regular Shoppers
12399.0,7,1962.3000000000015,5022,1,Regular Shoppers
12400.0,1,205.24999999999997,5317,0,Dormant Customers
12401.0,1,84.30000000000001,5206,0,Dormant Customers
12402.0,6,1256.8999999999996,5226,0,Dormant Customers
12403.0,2,1019.36,4952,1,Regular Shoppers
12404.0,1,63.24,5585,0,Dormant Customers
12405.0,1,1710.3900000000003,5051,1,Regular Shoppers
12406.0,5,6390.359999999998,4925,1,Regular Shoppers
12407.0,5,1708.1200000000001,4952,1,Regular Shoppers
12408.0,8,4340.769999999999,4935,1,Regular Shoppers
12409.0,7,23419.29,4981,1,Regular Shoppers
12410.0,3,1013.7099999999999,5211,0,Dormant Customers
12411.0,1,346.90000000000003,5312,0,Dormant Customers
12412.0,6,2596.9300000000007,4977,1,Regular Shoppers
12413.0,4,999.4500000000003,4969,1,Regular Shoppers
12414.0,6,952.4100000000001,5120,1,Regular Shoppers
12415.0,28,144458.3699999999,4927,2,High-Value Loyalists
12416.0,1,202.56,5559,0,Dormant Customers
12417.0,20,6816.9099999999935,4906,1,Regular Shoppers
12418.0,4,2021.1999999999998,5015,1,Regular Shoppers
12419.0,2,503.00999999999993,5288,0,Dormant Customers
12420.0,1,600.3900000000001,4966,1,Regular Shoppers
12421.0,6,1098.6000000000001,4918,1,Regular Shoppers
12422.0,17,5231.799999999997,4998,1,Regular Shoppers
12423.0,10,2622.3899999999994,4903,1,Regular Shoppers
12424.0,4,3340.0299999999993,5065,1,Regular Shoppers
12425.0,2,1741.4099999999996,4981,1,Regular Shoppers
12426.0,2,1345.21,5097,1,Regular Shoppers
12427.0,3,1129.3,4924,1,Regular Shoppers
12428.0,9,7956.460000000007,4928,1,Regular Shoppers
12429.0,8,7485.909999999998,4912,1,Regular Shoppers
12430.0,1,256.40000000000003,4946,1,Regular Shoppers
12431.0,27,10857.969999999992,4938,1,Regular Shoppers
12432.0,5,5059.320000000001,4945,1,Regular Shoppers
12433.0,10,20581.260000000046,4903,1,Regular Shoppers
12434.0,3,1103.4299999999996,4987,1,Regular Shoppers
12435.0,6,13925.930000000002,4982,1,Regular Shoppers
12436.0,1,509.01,5002,1,Regular Shoppers
12437.0,39,12683.400000000012,4904,1,Regular Shoppers
